NAME,year,state,place,age group,frequency
"Blacksburg town, Virginia",2013,Virginia,7784,Female|private college/graduate school|25 - 34,52
"Blacksburg town, Virginia",2013,Virginia,7784,Female|private college/graduate school|>= 35,6
"Blacksburg town, Virginia",2013,Virginia,7784,Female|None|All,6459
"Blacksburg town, Virginia",2013,Virginia,7784,Female|None|15 - 17,272
"Blacksburg town, Virginia",2013,Virginia,7784,Female|None|18 - 24,871
"Blacksburg town, Virginia",2013,Virginia,7784,Female|None|25 - 34,1103
"Blacksburg town, Virginia",2013,Virginia,7784,Female|None|>= 35,4213
"Blacksburg town, Virginia",2014,Virginia,7784,All|All|All,39724
"Blacksburg town, Virginia",2014,Virginia,7784,Male|All|All,22128
"Blacksburg town, Virginia",2014,Virginia,7784,Male|public college/graduate school|All,14676
"Blacksburg town, Virginia",2014,Virginia,7784,Male|public college/graduate school|15 - 17,33
"Blacksburg town, Virginia",2014,Virginia,7784,Male|public college/graduate school|18 - 24,12600
"Blacksburg town, Virginia",2014,Virginia,7784,Male|public college/graduate school|25 - 34,1663
"Blacksburg town, Virginia",2014,Virginia,7784,Male|public college/graduate school|>= 35,380
"Blacksburg town, Virginia",2014,Virginia,7784,Male|private college/graduate school|All,486
"Blacksburg town, Virginia",2014,Virginia,7784,Male|private college/graduate school|15 - 17,0
"Blacksburg town, Virginia",2014,Virginia,7784,Male|private college/graduate school|18 - 24,354
"Blacksburg town, Virginia",2014,Virginia,7784,Male|private college/graduate school|25 - 34,92
"Blacksburg town, Virginia",2014,Virginia,7784,Male|private college/graduate school|>= 35,40
"Blacksburg town, Virginia",2014,Virginia,7784,Male|None|All,6966
"Blacksburg town, Virginia",2014,Virginia,7784,Male|None|15 - 17,416
"Blacksburg town, Virginia",2014,Virginia,7784,Male|None|18 - 24,877
"Blacksburg town, Virginia",2014,Virginia,7784,Male|None|25 - 34,1555
"Blacksburg town, Virginia",2014,Virginia,7784,Male|None|>= 35,4118
"Blacksburg town, Virginia",2014,Virginia,7784,Female|All|All,17596
"Blacksburg town, Virginia",2014,Virginia,7784,Female|public college/graduate school|All,10872
"Blacksburg town, Virginia",2014,Virginia,7784,Female|public college/graduate school|15 - 17,36
"Blacksburg town, Virginia",2014,Virginia,7784,Female|public college/graduate school|18 - 24,9716
"Blacksburg town, Virginia",2014,Virginia,7784,Female|public college/graduate school|25 - 34,979
"Blacksburg town, Virginia",2014,Virginia,7784,Female|public college/graduate school|>= 35,141
"Blacksburg town, Virginia",2014,Virginia,7784,Female|private college/graduate school|All,152
"Blacksburg town, Virginia",2014,Virginia,7784,Female|private college/graduate school|15 - 17,0
"Blacksburg town, Virginia",2014,Virginia,7784,Female|private college/graduate school|18 - 24,63
"Blacksburg town, Virginia",2014,Virginia,7784,Female|private college/graduate school|25 - 34,72
"Blacksburg town, Virginia",2014,Virginia,7784,Female|private college/graduate school|>= 35,17
"Blacksburg town, Virginia",2014,Virginia,7784,Female|None|All,6572
"Blacksburg town, Virginia",2014,Virginia,7784,Female|None|15 - 17,293
"Blacksburg town, Virginia",2014,Virginia,7784,Female|None|18 - 24,869
"Blacksburg town, Virginia",2014,Virginia,7784,Female|None|25 - 34,1167
"Blacksburg town, Virginia",2014,Virginia,7784,Female|None|>= 35,4243
"Blacksburg town, Virginia",2015,Virginia,7784,All|All|All,39985
"Blacksburg town, Virginia",2015,Virginia,7784,Male|All|All,21903
"Blacksburg town, Virginia",2015,Virginia,7784,Male|public college/graduate school|All,14265
"Blacksburg town, Virginia",2015,Virginia,7784,Male|public college/graduate school|15 - 17,41
"Blacksburg town, Virginia",2015,Virginia,7784,Male|public college/graduate school|18 - 24,12278
"Blacksburg town, Virginia",2015,Virginia,7784,Male|public college/graduate school|25 - 34,1490
"Blacksburg town, Virginia",2015,Virginia,7784,Male|public college/graduate school|>= 35,456
"Blacksburg town, Virginia",2015,Virginia,7784,Male|private college/graduate school|All,725
"Blacksburg town, Virginia",2015,Virginia,7784,Male|private college/graduate school|15 - 17,0
"Blacksburg town, Virginia",2015,Virginia,7784,Male|private college/graduate school|18 - 24,435
"Blacksburg town, Virginia",2015,Virginia,7784,Male|private college/graduate school|25 - 34,269
"Blacksburg town, Virginia",2015,Virginia,7784,Male|private college/graduate school|>= 35,21
"Blacksburg town, Virginia",2015,Virginia,7784,Male|None|All,6913
"Blacksburg town, Virginia",2015,Virginia,7784,Male|None|15 - 17,373
"Blacksburg town, Virginia",2015,Virginia,7784,Male|None|18 - 24,794
"Blacksburg town, Virginia",2015,Virginia,7784,Male|None|25 - 34,1646
"Blacksburg town, Virginia",2015,Virginia,7784,Male|None|>= 35,4100
"Blacksburg town, Virginia",2015,Virginia,7784,Female|All|All,18082
"Blacksburg town, Virginia",2015,Virginia,7784,Female|public college/graduate school|All,10868
"Blacksburg town, Virginia",2015,Virginia,7784,Female|public college/graduate school|15 - 17,34
"Blacksburg town, Virginia",2015,Virginia,7784,Female|public college/graduate school|18 - 24,9628
"Blacksburg town, Virginia",2015,Virginia,7784,Female|public college/graduate school|25 - 34,1001
"Blacksburg town, Virginia",2015,Virginia,7784,Female|public college/graduate school|>= 35,205
"Blacksburg town, Virginia",2015,Virginia,7784,Female|private college/graduate school|All,344
"Blacksburg town, Virginia",2015,Virginia,7784,Female|private college/graduate school|15 - 17,0
"Blacksburg town, Virginia",2015,Virginia,7784,Female|private college/graduate school|18 - 24,205
"Blacksburg town, Virginia",2015,Virginia,7784,Female|private college/graduate school|25 - 34,119
"Blacksburg town, Virginia",2015,Virginia,7784,Female|private college/graduate school|>= 35,20
"Blacksburg town, Virginia",2015,Virginia,7784,Female|None|All,6870
"Blacksburg town, Virginia",2015,Virginia,7784,Female|None|15 - 17,399
"Blacksburg town, Virginia",2015,Virginia,7784,Female|None|18 - 24,962
"Blacksburg town, Virginia",2015,Virginia,7784,Female|None|25 - 34,1185
"Blacksburg town, Virginia",2015,Virginia,7784,Female|None|>= 35,4324
"Blacksburg town, Virginia",2016,Virginia,7784,All|All|All,40410
"Blacksburg town, Virginia",2016,Virginia,7784,Male|All|All,22001
"Blacksburg town, Virginia",2016,Virginia,7784,Male|public college/graduate school|All,13847
"Blacksburg town, Virginia",2016,Virginia,7784,Male|public college/graduate school|15 - 17,16
"Blacksburg town, Virginia",2016,Virginia,7784,Male|public college/graduate school|18 - 24,12181
"Blacksburg town, Virginia",2016,Virginia,7784,Male|public college/graduate school|25 - 34,1279
"Blacksburg town, Virginia",2016,Virginia,7784,Male|public college/graduate school|>= 35,371
"Blacksburg town, Virginia",2016,Virginia,7784,Male|private college/graduate school|All,799
"Blacksburg town, Virginia",2016,Virginia,7784,Male|private college/graduate school|15 - 17,0
"Blacksburg town, Virginia",2016,Virginia,7784,Male|private college/graduate school|18 - 24,482
"Blacksburg town, Virginia",2016,Virginia,7784,Male|private college/graduate school|25 - 34,299
"Blacksburg town, Virginia",2016,Virginia,7784,Male|private college/graduate school|>= 35,18
"Blacksburg town, Virginia",2016,Virginia,7784,Male|None|All,7355
"Blacksburg town, Virginia",2016,Virginia,7784,Male|None|15 - 17,296
"Blacksburg town, Virginia",2016,Virginia,7784,Male|None|18 - 24,900
"Blacksburg town, Virginia",2016,Virginia,7784,Male|None|25 - 34,1632
"Blacksburg town, Virginia",2016,Virginia,7784,Male|None|>= 35,4527
"Blacksburg town, Virginia",2016,Virginia,7784,Female|All|All,18409
"Blacksburg town, Virginia",2016,Virginia,7784,Female|public college/graduate school|All,10907
"Blacksburg town, Virginia",2016,Virginia,7784,Female|public college/graduate school|15 - 17,33
"Blacksburg town, Virginia",2016,Virginia,7784,Female|public college/graduate school|18 - 24,9640
"Blacksburg town, Virginia",2016,Virginia,7784,Female|public college/graduate school|25 - 34,1007
"Blacksburg town, Virginia",2016,Virginia,7784,Female|public college/graduate school|>= 35,227
"Blacksburg town, Virginia",2016,Virginia,7784,Female|private college/graduate school|All,381
"Blacksburg town, Virginia",2016,Virginia,7784,Female|private college/graduate school|15 - 17,0
"Blacksburg town, Virginia",2016,Virginia,7784,Female|private college/graduate school|18 - 24,217
"Blacksburg town, Virginia",2016,Virginia,7784,Female|private college/graduate school|25 - 34,157
"Blacksburg town, Virginia",2016,Virginia,7784,Female|private college/graduate school|>= 35,7
"Blacksburg town, Virginia",2016,Virginia,7784,Female|None|All,7121
"Blacksburg town, Virginia",2016,Virginia,7784,Female|None|15 - 17,384
"Blacksburg town, Virginia",2016,Virginia,7784,Female|None|18 - 24,780
"Blacksburg town, Virginia",2016,Virginia,7784,Female|None|25 - 34,1472
"Blacksburg town, Virginia",2016,Virginia,7784,Female|None|>= 35,4485
"Blacksburg town, Virginia",2017,Virginia,7784,All|All|All,40387
"Blacksburg town, Virginia",2017,Virginia,7784,Male|All|All,21950
"Blacksburg town, Virginia",2017,Virginia,7784,Male|public college/graduate school|All,13731
"Blacksburg town, Virginia",2017,Virginia,7784,Male|public college/graduate school|15 - 17,22
"Blacksburg town, Virginia",2017,Virginia,7784,Male|public college/graduate school|18 - 24,12193
"Blacksburg town, Virginia",2017,Virginia,7784,Male|public college/graduate school|25 - 34,1142
"Blacksburg town, Virginia",2017,Virginia,7784,Male|public college/graduate school|>= 35,374
"Blacksburg town, Virginia",2017,Virginia,7784,Male|private college/graduate school|All,823
"Blacksburg town, Virginia",2017,Virginia,7784,Male|private college/graduate school|15 - 17,0
"Blacksburg town, Virginia",2017,Virginia,7784,Male|private college/graduate school|18 - 24,437
"Blacksburg town, Virginia",2017,Virginia,7784,Male|private college/graduate school|25 - 34,351
"Blacksburg town, Virginia",2017,Virginia,7784,Male|private college/graduate school|>= 35,35
"Blacksburg town, Virginia",2017,Virginia,7784,Male|None|All,7396
"Blacksburg town, Virginia",2017,Virginia,7784,Male|None|15 - 17,279
"Blacksburg town, Virginia",2017,Virginia,7784,Male|None|18 - 24,837
"Blacksburg town, Virginia",2017,Virginia,7784,Male|None|25 - 34,1513
"Blacksburg town, Virginia",2017,Virginia,7784,Male|None|>= 35,4767
"Blacksburg town, Virginia",2017,Virginia,7784,Female|All|All,18437
"Blacksburg town, Virginia",2017,Virginia,7784,Female|public college/graduate school|All,10704
"Blacksburg town, Virginia",2017,Virginia,7784,Female|public college/graduate school|15 - 17,27
"Blacksburg town, Virginia",2017,Virginia,7784,Female|public college/graduate school|18 - 24,9502
"Blacksburg town, Virginia",2017,Virginia,7784,Female|public college/graduate school|25 - 34,1004
"Blacksburg town, Virginia",2017,Virginia,7784,Female|public college/graduate school|>= 35,171
"Blacksburg town, Virginia",2017,Virginia,7784,Female|private college/graduate school|All,401
"Blacksburg town, Virginia",2017,Virginia,7784,Female|private college/graduate school|15 - 17,0
"Blacksburg town, Virginia",2017,Virginia,7784,Female|private college/graduate school|18 - 24,187
"Blacksburg town, Virginia",2017,Virginia,7784,Female|private college/graduate school|25 - 34,194
"Blacksburg town, Virginia",2017,Virginia,7784,Female|private college/graduate school|>= 35,20
"Blacksburg town, Virginia",2017,Virginia,7784,Female|None|All,7332
"Blacksburg town, Virginia",2017,Virginia,7784,Female|None|15 - 17,383
"Blacksburg town, Virginia",2017,Virginia,7784,Female|None|18 - 24,653
"Blacksburg town, Virginia",2017,Virginia,7784,Female|None|25 - 34,1519
"Blacksburg town, Virginia",2017,Virginia,7784,Female|None|>= 35,4777
"Blacksburg town, Virginia",2018,Virginia,7784,All|All|All,40528
"Blacksburg town, Virginia",2018,Virginia,7784,Male|All|All,21942
"Blacksburg town, Virginia",2018,Virginia,7784,Male|public college/graduate school|All,14223
"Blacksburg town, Virginia",2018,Virginia,7784,Male|public college/graduate school|15 - 17,23
"Blacksburg town, Virginia",2018,Virginia,7784,Male|public college/graduate school|18 - 24,12639
"Blacksburg town, Virginia",2018,Virginia,7784,Male|public college/graduate school|25 - 34,1269
"Blacksburg town, Virginia",2018,Virginia,7784,Male|public college/graduate school|>= 35,292
"Blacksburg town, Virginia",2018,Virginia,7784,Male|private college/graduate school|All,624
"Blacksburg town, Virginia",2018,Virginia,7784,Male|private college/graduate school|15 - 17,0
"Blacksburg town, Virginia",2018,Virginia,7784,Male|private college/graduate school|18 - 24,256
"Blacksburg town, Virginia",2018,Virginia,7784,Male|private college/graduate school|25 - 34,322
"Blacksburg town, Virginia",2018,Virginia,7784,Male|private college/graduate school|>= 35,46
"Blacksburg town, Virginia",2018,Virginia,7784,Male|None|All,7095
"Blacksburg town, Virginia",2018,Virginia,7784,Male|None|15 - 17,298
"Blacksburg town, Virginia",2018,Virginia,7784,Male|None|18 - 24,748
"Blacksburg town, Virginia",2018,Virginia,7784,Male|None|25 - 34,1507
"Blacksburg town, Virginia",2018,Virginia,7784,Male|None|>= 35,4542
"Blacksburg town, Virginia",2018,Virginia,7784,Female|All|All,18586
"Blacksburg town, Virginia",2018,Virginia,7784,Female|public college/graduate school|All,10730
"Blacksburg town, Virginia",2018,Virginia,7784,Female|public college/graduate school|15 - 17,47
"Blacksburg town, Virginia",2018,Virginia,7784,Female|public college/graduate school|18 - 24,9290
"Blacksburg town, Virginia",2018,Virginia,7784,Female|public college/graduate school|25 - 34,1180
"Blacksburg town, Virginia",2018,Virginia,7784,Female|public college/graduate school|>= 35,213
"Blacksburg town, Virginia",2018,Virginia,7784,Female|private college/graduate school|All,486
"Blacksburg town, Virginia",2018,Virginia,7784,Female|private college/graduate school|15 - 17,0
"Blacksburg town, Virginia",2018,Virginia,7784,Female|private college/graduate school|18 - 24,202
"Blacksburg town, Virginia",2018,Virginia,7784,Female|private college/graduate school|25 - 34,250
"Blacksburg town, Virginia",2018,Virginia,7784,Female|private college/graduate school|>= 35,34
"Blacksburg town, Virginia",2018,Virginia,7784,Female|None|All,7370
"Blacksburg town, Virginia",2018,Virginia,7784,Female|None|15 - 17,413
"Blacksburg town, Virginia",2018,Virginia,7784,Female|None|18 - 24,630
"Blacksburg town, Virginia",2018,Virginia,7784,Female|None|25 - 34,1432
"Blacksburg town, Virginia",2018,Virginia,7784,Female|None|>= 35,4895
"Blacksburg town, Virginia",2019,Virginia,7784,All|All|All,40675
"Blacksburg town, Virginia",2019,Virginia,7784,Male|All|All,22071
"Blacksburg town, Virginia",2019,Virginia,7784,Male|public college/graduate school|All,14135
"Blacksburg town, Virginia",2019,Virginia,7784,Male|public college/graduate school|15 - 17,68
"Blacksburg town, Virginia",2019,Virginia,7784,Male|public college/graduate school|18 - 24,12541
"Blacksburg town, Virginia",2019,Virginia,7784,Male|public college/graduate school|25 - 34,1281
"Blacksburg town, Virginia",2019,Virginia,7784,Male|public college/graduate school|>= 35,245
"Blacksburg town, Virginia",2019,Virginia,7784,Male|private college/graduate school|All,539
"Blacksburg town, Virginia",2019,Virginia,7784,Male|private college/graduate school|15 - 17,0
"Blacksburg town, Virginia",2019,Virginia,7784,Male|private college/graduate school|18 - 24,188
"Blacksburg town, Virginia",2019,Virginia,7784,Male|private college/graduate school|25 - 34,285
